date,home_team,away_team,home_score,away_score
2015-12-30,North Carolina,Clemson,80,69
2015-12-30,Pittsburgh,Syracuse,72,61
2016-01-02,Boston College,Duke,64,81
2016-01-02,Clemson,Florida State,84,75
2016-01-02,Miami (FL),Syracuse,64,51
2016-01-02,North Carolina,Georgia Tech,86,78
2016-01-02,Virginia,Notre Dame,77,66
2016-01-02,Virginia Tech,NC State,73,68
2016-01-03,Louisville,Wake Forest,65,57
2016-01-04,Virginia Tech,Virginia,70,68
2016-01-04,Florida State,North Carolina,90,106
2016-01-05,Syracuse,Clemson,73,74
2016-01-06,Pittsburgh,Georgia Tech,89,84
2016-01-06,Wake Forest,Duke,75,91
2016-01-07,Boston College,Notre Dame,54,82
2016-01-07,NC State,Louisville,72,77
2016-01-09,Notre Dame,Pittsburgh,82,86
2016-01-09,Duke,Virginia Tech,82,58
2016-01-09,Georgia Tech,Virginia,68,64
2016-01-09,Miami (FL),Florida State,72,59
2016-01-09,Syracuse,North Carolina,73,84
2016-01-10,Wake Forest,NC State,77,74
2016-01-10,Clemson,Louisville,66,62
2016-01-12,Virginia,Miami (FL),66,58
2016-01-13,Clemson,Duke,68,63
2016-01-13,NC State,Florida State,78,85
2016-01-13,Notre Dame,Georgia Tech,72,64
2016-01-13,Syracuse,Boston College,62,40
2016-01-13,Virginia Tech,Wake Forest,93,91
2016-01-14,Louisville,Pittsburgh,59,41
2016-01-16,North Carolina,NC State,67,55
2016-01-16,Wake Forest,Syracuse,55,83
2016-01-16,Pittsburgh,Boston College,84,61
2016-01-16,Georgia Tech,Virginia Tech,77,78
2016-01-16,Duke,Notre Dame,91,95
2016-01-16,Clemson,Miami (FL),76,65
2016-01-17,Florida State,Virginia,69,62
2016-01-18,Duke,Syracuse,62,64
2016-01-19,Pittsburgh,NC State,61,78
2016-01-19,Virginia,Clemson,69,62
2016-01-20,Boston College,Miami (FL),53,67
2016-01-20,Louisville,Florida State,84,65
2016-01-20,North Carolina,Wake Forest,83,68
2016-01-20,Notre Dame,Virginia Tech,83,81
2016-01-23,NC State,Duke,78,88
2016-01-23,Miami (FL),Wake Forest,77,63
2016-01-23,Notre Dame,Boston College,76,49
2016-01-23,Florida State,Pittsburgh,72,74
2016-01-23,Georgia Tech,Louisville,71,75
2016-01-24,Virginia,Syracuse,73,65
2016-01-24,Virginia Tech,North Carolina,70,75
2016-01-25,Miami (FL),Duke,80,69
2016-01-26,Boston College,Florida State,62,72
2016-01-26,Wake Forest,Virginia,71,72
2016-01-27,Clemson,Pittsburgh,73,60
2016-01-27,NC State,Georgia Tech,83,90
2016-01-27,Virginia Tech,Louisville,83,91
2016-01-28,Syracuse,Notre Dame,81,66
2016-01-30,Syracuse,Georgia Tech,60,57
2016-01-30,North Carolina,Boston College,89,62
2016-01-30,Florida State,Clemson,76,65
2016-01-30,Louisville,Virginia,47,63
2016-01-30,NC State,Miami (FL),85,69
2016-01-31,Notre Dame,Wake Forest,85,62
2016-01-31,Pittsburgh,Virginia Tech,90,71
2016-02-01,Florida State,NC State,77,73
2016-02-01,Louisville,North Carolina,71,65
2016-02-02,Syracuse,Virginia Tech,68,60
2016-02-02,Georgia Tech,Duke,71,80
2016-02-02,Wake Forest,Clemson,62,76
2016-02-03,Virginia,Boston College,61,47
2016-02-03,Miami (FL),Notre Dame,79,70
2016-02-06,Duke,NC State,88,80
2016-02-06,Louisville,Boston College,79,47
2016-02-06,Notre Dame,North Carolina,80,76
2016-02-06,Pittsburgh,Virginia,50,64
2016-02-06,Virginia Tech,Clemson,60,57
2016-02-06,Wake Forest,Florida State,71,91
2016-02-07,Georgia Tech,Miami (FL),68,75
2016-02-08,Clemson,Notre Dame,83,89
2016-02-08,Duke,Louisville,72,65
2016-02-09,Virginia,Virginia Tech,67,49
2016-02-09,Miami (FL),Pittsburgh,65,63
2016-02-09,Boston College,North Carolina,65,68
2016-02-10,Georgia Tech,Wake Forest,71,66
2016-02-11,Syracuse,Florida State,85,72
2016-02-13,Clemson,Georgia Tech,66,52
2016-02-13,Duke,Virginia,63,62
2016-02-13,NC State,Wake Forest,99,88
2016-02-13,Notre Dame,Louisville,71,66
2016-02-14,Boston College,Syracuse,61,75
2016-02-14,Florida State,Miami (FL),65,67
2016-02-14,North Carolina,Pittsburgh,85,64
2016-02-15,Virginia,NC State,73,53
2016-02-16,Pittsburgh,Wake Forest,101,96
2016-02-17,North Carolina,Duke,73,74
2016-02-17,Miami (FL),Virginia Tech,65,49
2016-02-17,Florida State,Georgia Tech,80,86
2016-02-17,Louisville,Syracuse,72,58
2016-02-17,Clemson,Boston College,65,54
2016-02-20,Georgia Tech,Notre Dame,63,62
2016-02-20,Louisville,Duke,71,64
2016-02-20,NC State,Clemson,77,74
2016-02-20,North Carolina,Miami (FL),96,71
2016-02-20,Syracuse,Pittsburgh,52,66
2016-02-20,Virginia Tech,Florida State,83,73
2016-02-21,Wake Forest,Boston College,74,48
2016-02-22,Miami (FL),Virginia,64,61
2016-02-23,Georgia Tech,Clemson,75,73
2016-02-23,Boston College,Virginia Tech,56,71
2016-02-24,NC State,North Carolina,68,80
2016-02-24,Pittsburgh,Louisville,60,67
2016-02-24,Wake Forest,Notre Dame,58,69
2016-02-25,Duke,Florida State,80,65
2016-02-27,Boston College,Georgia Tech,71,76
2016-02-27,Florida State,Notre Dame,77,56
2016-02-27,Miami (FL),Louisville,73,65
2016-02-27,Syracuse,NC State,75,66
2016-02-27,Virginia,North Carolina,79,74
2016-02-28,Pittsburgh,Duke,76,62
2016-02-28,Wake Forest,Virginia Tech,74,81
2016-02-29,North Carolina,Syracuse,75,70
2016-03-01,Clemson,Virginia,57,64
2016-03-01,Duke,Wake Forest,79,71
2016-03-01,Louisville,Georgia Tech,56,53
2016-03-02,NC State,Boston College,73,72
2016-03-02,Notre Dame,Miami (FL),50,68
2016-03-02,Virginia Tech,Pittsburgh,65,61
2016-03-05,Virginia Tech,Miami (FL),77,62
2016-03-05,Notre Dame,NC State,89,75
2016-03-05,Georgia Tech,Pittsburgh,63,59
2016-03-05,Virginia,Louisville,68,46
2016-03-05,Duke,North Carolina,72,76
2016-03-05,Boston College,Clemson,50,66
2016-03-05,Florida State,Syracuse,78,73
2016-03-08,Florida State,Boston College,88,66
2016-03-08,NC State,Wake Forest,75,72
2016-03-09,Clemson,Georgia Tech,85,88
2016-03-09,Duke,NC State,92,89
2016-03-09,Pittsburgh,Syracuse,72,71
2016-03-09,Virginia Tech,Florida State,96,85
2016-03-10,Miami (FL),Virginia Tech,88,82
2016-03-10,North Carolina,Pittsburgh,88,71
2016-03-10,Notre Dame,Duke,84,79
2016-03-10,Virginia,Georgia Tech,72,52
2016-03-11,Virginia,Miami (FL),73,68
2016-03-11,North Carolina,Notre Dame,78,47
2016-03-12,North Carolina,Virginia,61,57
2016-12-28,Florida State,Wake Forest,88,72
2016-12-28,Louisville,Virginia,53,61
2016-12-31,Georgia Tech,North Carolina,75,63
2016-12-31,Miami (FL),NC State,81,63
2016-12-31,Pittsburgh,Notre Dame,77,78
2016-12-31,Virginia,Florida State,58,60
2016-12-31,Virginia Tech,Duke,89,75
2016-12-31,Wake Forest,Clemson,68,73
2017-01-01,Boston College,Syracuse,96,81
2017-01-03,Wake Forest,Boston College,79,66
2017-01-03,Clemson,North Carolina,86,89
2017-01-04,Duke,Georgia Tech,110,57
2017-01-04,NC State,Virginia Tech,104,78
2017-01-04,Notre Dame,Louisville,77,70
2017-01-04,Pittsburgh,Virginia,88,76
2017-01-04,Syracuse,Miami (FL),70,55
2017-01-07,Syracuse,Pittsburgh,77,66
2017-01-07,Duke,Boston College,93,82
2017-01-07,Florida State,Virginia Tech,93,78
2017-01-07,Georgia Tech,Louisville,50,65
2017-01-07,Notre Dame,Clemson,75,70
2017-01-08,Virginia,Wake Forest,79,62
2017-01-08,North Carolina,NC State,107,56
2017-01-10,Florida State,Duke,88,72
2017-01-10,Virginia Tech,Syracuse,83,73
