 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sun Dec 8 2013,Virginia Tech,61,Miami (FL),60,OT,
Thu Dec 12 2013,Maryland,88,Boston College,80,,
Sat Jan 4 2014,Clemson,62,Boston College,60,,
Sat Jan 4 2014,Virginia,62,Florida State,50,,
Sat Jan 4 2014,Georgia Tech,61,Maryland,77,,
Sat Jan 4 2014,Pittsburgh,74,NC State,62,,
Sat Jan 4 2014,Duke,77,Notre Dame,79,,
Sat Jan 4 2014,Miami (FL),44,Syracuse,49,,
Sun Jan 5 2014,North Carolina,67,Wake Forest,73,,
Mon Jan 6 2014,Maryland,59,Pittsburgh,79,,
Tue Jan 7 2014,Georgia Tech,57,Duke,79,,
Tue Jan 7 2014,NC State,77,Notre Dame,70,,
Tue Jan 7 2014,Syracuse,72,Virginia Tech,52,,
Wed Jan 8 2014,Miami (FL),63,North Carolina,57,,
Wed Jan 8 2014,Wake Forest,51,Virginia,74,,
Thu Jan 9 2014,Florida State,56,Clemson,41,,
Sat Jan 11 2014,Duke,59,Clemson,72,,
Sat Jan 11 2014,Notre Dame,69,Georgia Tech,74,,
Sat Jan 11 2014,Virginia,76,NC State,45,,
Sat Jan 11 2014,Wake Forest,65,Pittsburgh,80,,
Sat Jan 11 2014,North Carolina,45,Syracuse,57,,
Sat Jan 11 2014,Boston College,62,Virginia Tech,59,,
Sun Jan 12 2014,Maryland,61,Florida State,85,,
Mon Jan 13 2014,Syracuse,69,Boston College,59,,
Mon Jan 13 2014,Virginia,65,Duke,69,,
Tue Jan 14 2014,Pittsburgh,81,Georgia Tech,74,,
Wed Jan 15 2014,Notre Dame,66,Maryland,74,,
Wed Jan 15 2014,Florida State,63,Miami (FL),53,,
Wed Jan 15 2014,Clemson,56,Virginia Tech,49,,
Wed Jan 15 2014,NC State,69,Wake Forest,70,,
Sat Jan 18 2014,Wake Forest,53,Clemson,61,,
Sat Jan 18 2014,NC State,60,Duke,95,,
Sat Jan 18 2014,Miami (FL),56,Georgia Tech,42,,
Sat Jan 18 2014,Boston College,71,North Carolina,82,,
Sat Jan 18 2014,Pittsburgh,54,Syracuse,59,,
Sat Jan 18 2014,Florida State,66,Virginia,78,,
Sun Jan 19 2014,Virginia Tech,63,Notre Dame,70,,
Mon Jan 20 2014,Maryland,56,NC State,65,,
Mon Jan 20 2014,North Carolina,61,Virginia,76,,
Tue Jan 21 2014,Georgia Tech,68,Boston College,60,,
Tue Jan 21 2014,Notre Dame,74,Florida State,76,,
Tue Jan 21 2014,Clemson,43,Pittsburgh,76,,
Wed Jan 22 2014,Duke,67,Miami (FL),46,,
Wed Jan 22 2014,Wake Forest,83,Virginia Tech,77,,
Sat Jan 25 2014,Florida State,56,Duke,78,,
Sat Jan 25 2014,Pittsburgh,83,Maryland,79,,
Sat Jan 25 2014,Syracuse,64,Miami (FL),52,,
Sat Jan 25 2014,Virginia Tech,45,Virginia,65,,
Sat Jan 25 2014,Notre Dame,58,Wake Forest,65,,
Sun Jan 26 2014,Georgia Tech,78,NC State,80,OT,
Sun Jan 26 2014,Clemson,61,North Carolina,80,,
Mon Jan 27 2014,Duke,80,Pittsburgh,65,,
Tue Jan 28 2014,Virginia,68,Notre Dame,53,,
Wed Jan 29 2014,Virginia Tech,52,Boston College,76,,
Wed Jan 29 2014,North Carolina,78,Georgia Tech,65,,
Wed Jan 29 2014,Miami (FL),71,Maryland,74,,
Wed Jan 29 2014,Florida State,70,NC State,74,,
Wed Jan 29 2014,Syracuse,67,Wake Forest,57,,
Sat Feb 1 2014,Clemson,53,Florida State,49,,
Sat Feb 1 2014,NC State,70,North Carolina,84,,
Sat Feb 1 2014,Boston College,73,Notre Dame,76,OT,
Sat Feb 1 2014,Duke,89,Syracuse,91,OT,
Sat Feb 1 2014,Maryland,80,Virginia Tech,60,,
Sat Feb 1 2014,Georgia Tech,79,Wake Forest,70,,
Sun Feb 2 2014,Virginia,48,Pittsburgh,45,,
Mon Feb 3 2014,Notre Dame,55,Syracuse,61,,
Tue Feb 4 2014,Georgia Tech,41,Clemson,45,,
Tue Feb 4 2014,Wake Forest,63,Duke,83,,
Tue Feb 4 2014,Maryland,63,North Carolina,75,,
Wed Feb 5 2014,Virginia Tech,50,Florida State,70,,
Wed Feb 5 2014,Pittsburgh,59,Miami (FL),55,OT,
Wed Feb 5 2014,Boston College,67,Virginia,77,,
Sat Feb 8 2014,Duke,89,Boston College,68,,
Sat Feb 8 2014,Virginia,64,Georgia Tech,45,,
Sat Feb 8 2014,Florida State,71,Maryland,83,,
Sat Feb 8 2014,NC State,56,Miami (FL),55,,
Sat Feb 8 2014,North Carolina,73,Notre Dame,62,,
Sat Feb 8 2014,Virginia Tech,57,Pittsburgh,62,2OT,
Sun Feb 9 2014,Clemson,44,Syracuse,57,,
Mon Feb 10 2014,Miami (FL),77,Florida State,73,,
Mon Feb 10 2014,Maryland,53,Virginia,61,,
Tue Feb 11 2014,Wake Forest,67,NC State,82,,
Tue Feb 11 2014,Clemson,64,Notre Dame,68,2OT,
Wed Feb 12 2014,Syracuse,58,Pittsburgh,56,,
Thu Feb 13 2014,Boston College,71,Georgia Tech,74,,
Sat Feb 15 2014,Virginia,63,Clemson,58,,
Sat Feb 15 2014,Maryland,67,Duke,69,,
Sat Feb 15 2014,Pittsburgh,71,North Carolina,75,,
Sat Feb 15 2014,NC State,55,Syracuse,56,,
Sat Feb 15 2014,Miami (FL),45,Virginia Tech,52,,
Sat Feb 15 2014,Florida State,67,Wake Forest,60,,
Sun Feb 16 2014,Notre Dame,73,Boston College,69,,
Mon Feb 17 2014,North Carolina,81,Florida State,75,,
Tue Feb 18 2014,NC State,56,Clemson,73,,
Tue Feb 18 2014,Duke,68,Georgia Tech,51,,
Tue Feb 18 2014,Wake Forest,60,Maryland,71,,
Tue Feb 18 2014,Virginia,57,Virginia Tech,53,,
Wed Feb 19 2014,Notre Dame,64,Miami (FL),71,,
Wed Feb 19 2014,Boston College,62,Syracuse,59,OT,
Thu Feb 20 2014,Duke,66,North Carolina,74,,
Sat Feb 22 2014,Syracuse,60,Duke,66,,
Sat Feb 22 2014,Clemson,63,Georgia Tech,55,,
Sat Feb 22 2014,Boston College,42,Miami (FL),69,,
Sat Feb 22 2014,Wake Forest,72,North Carolina,105,,
Sat Feb 22 2014,Notre Dame,49,Virginia,70,,
Sat Feb 22 2014,NC State,71,Virginia Tech,64,,
Sun Feb 23 2014,Florida State,71,Pittsburgh,66,,
Mon Feb 24 2014,Syracuse,57,Maryland,55,,
Tue Feb 25 2014,Virginia Tech,48,Duke,66,,
Tue Feb 25 2014,Clemson,57,Wake Forest,62,,
Wed Feb 26 2014,Pittsburgh,66,Boston College,59,,
Wed Feb 26 2014,North Carolina,85,NC State,84,OT,
Wed Feb 26 2014,Georgia Tech,62,Notre Dame,65,,
Wed Feb 26 2014,Miami (FL),40,Virginia,65,,
Sat Mar 1 2014,Miami (FL),85,NC State,70,,
Sat Mar 1 2014,Pittsburgh,85,Notre Dame,81,OT,
Sat Mar 1 2014,Syracuse,56,Virginia,75,,
Sat Mar 1 2014,North Carolina,60,Virginia Tech,56,,
Sat Mar 1 2014,Boston College,80,Wake Forest,72,,
Sun Mar 2 2014,Maryland,73,Clemson,77,2OT,
Sun Mar 2 2014,Georgia Tech,71,Florida State,81,,
Mon Mar 3 2014,Notre Dame,61,North Carolina,63,,
Mon Mar 3 2014,NC State,74,Pittsburgh,67,,
Tue Mar 4 2014,Florida State,74,Boston College,70,,
Tue Mar 4 2014,Miami (FL),54,Clemson,58,,
Tue Mar 4 2014,Virginia Tech,47,Maryland,64,,
Tue Mar 4 2014,Georgia Tech,67,Syracuse,62,,
Wed Mar 5 2014,Duke,72,Wake Forest,82,,
Sat Mar 8 2014,Pittsburgh,83,Clemson,78,OT,
Sat Mar 8 2014,North Carolina,81,Duke,93,,
Sat Mar 8 2014,Virginia Tech,51,Georgia Tech,62,,
Sat Mar 8 2014,Wake Forest,56,Miami (FL),69,,
