Date,Visitor/Neutral,PTS,Home/Neutral,PTS,OT,Notes
Sat Dec 2 2023,NC State,84,Boston College,78,OT,
Sat Dec 2 2023,Duke,68,Georgia Tech,72,,
Sat Dec 2 2023,Notre Dame,49,Miami (FL),62,,
Sat Dec 2 2023,Florida State,70,North Carolina,78,,
Sat Dec 2 2023,Syracuse,62,Virginia,84,,
Sun Dec 3 2023,Clemson,79,Pittsburgh,70,,
Sun Dec 3 2023,Louisville,68,Virginia Tech,75,,
Sat Dec 30 2023,Virginia,54,Notre Dame,76,,
Sat Dec 30 2023,Pittsburgh,73,Syracuse,81,,
Sat Dec 30 2023,Virginia Tech,63,Wake Forest,86,,
Tue Jan 2 2024,Wake Forest,84,Boston College,78,,
Tue Jan 2 2024,Syracuse,66,Duke,86,,
Tue Jan 2 2024,North Carolina,70,Pittsburgh,57,,
Wed Jan 3 2024,Georgia Tech,71,Florida State,82,,
Wed Jan 3 2024,Clemson,82,Miami (FL),95,,
Wed Jan 3 2024,NC State,54,Notre Dame,52,,
Wed Jan 3 2024,Louisville,53,Virginia,77,,
Sat Jan 6 2024,North Carolina,65,Clemson,55,,
Sat Jan 6 2024,Virginia Tech,74,Florida State,77,,
Sat Jan 6 2024,Boston College,95,Georgia Tech,87,,
Sat Jan 6 2024,Pittsburgh,83,Louisville,70,,
Sat Jan 6 2024,Virginia,60,NC State,76,,
Sat Jan 6 2024,Duke,67,Notre Dame,59,,
Sat Jan 6 2024,Miami (FL),82,Wake Forest,86,OT,
Tue Jan 9 2024,Wake Forest,82,Florida State,87,,
Tue Jan 9 2024,Notre Dame,75,Georgia Tech,68,OT,
Tue Jan 9 2024,Duke,75,Pittsburgh,53,,
Wed Jan 10 2024,Louisville,80,Miami (FL),71,,
Wed Jan 10 2024,North Carolina,67,NC State,54,,
Wed Jan 10 2024,Boston College,59,Syracuse,69,,
Wed Jan 10 2024,Clemson,72,Virginia Tech,87,,
Sat Jan 13 2024,Boston College,78,Clemson,89,,
Sat Jan 13 2024,Georgia Tech,79,Duke,84,,
Sat Jan 13 2024,NC State,89,Louisville,83,,
Sat Jan 13 2024,Syracuse,67,North Carolina,103,,
Sat Jan 13 2024,Florida State,67,Notre Dame,58,,
Sat Jan 13 2024,Miami (FL),75,Virginia Tech,71,,
Sat Jan 13 2024,Virginia,47,Wake Forest,66,,
Mon Jan 15 2024,Notre Dame,59,Boston College,63,,
Tue Jan 16 2024,Georgia Tech,93,Clemson,90,2OT,
Tue Jan 16 2024,Wake Forest,76,NC State,83,,
Tue Jan 16 2024,Syracuse,69,Pittsburgh,58,,
Wed Jan 17 2024,Florida State,84,Miami (FL),75,,
Wed Jan 17 2024,Louisville,70,North Carolina,86,,
Wed Jan 17 2024,Virginia Tech,57,Virginia,65,,
Sat Jan 20 2024,North Carolina,76,Boston College,66,,
Sat Jan 20 2024,Pittsburgh,80,Duke,76,,
Sat Jan 20 2024,Clemson,78,Florida State,67,,
Sat Jan 20 2024,Virginia,75,Georgia Tech,66,,
Sat Jan 20 2024,Virginia Tech,84,NC State,78,,
Sat Jan 20 2024,Miami (FL),69,Syracuse,72,,
Sat Jan 20 2024,Louisville,65,Wake Forest,90,,
Mon Jan 22 2024,Wake Forest,64,North Carolina,85,,
Tue Jan 23 2024,Pittsburgh,72,Georgia Tech,64,,
Tue Jan 23 2024,Duke,83,Louisville,69,,
Tue Jan 23 2024,Florida State,85,Syracuse,69,,
Tue Jan 23 2024,Boston College,71,Virginia Tech,76,,
Wed Jan 24 2024,Miami (FL),73,Notre Dame,61,,
Wed Jan 24 2024,NC State,53,Virginia,59,OT,
Sat Jan 27 2024,Clemson,71,Duke,72,,
Sat Jan 27 2024,North Carolina,75,Florida State,68,,
Sat Jan 27 2024,Virginia,69,Louisville,52,,
Sat Jan 27 2024,Pittsburgh,68,Miami (FL),72,,
Sat Jan 27 2024,Boston College,61,Notre Dame,58,,
Sat Jan 27 2024,NC State,65,Syracuse,77,,
Sat Jan 27 2024,Georgia Tech,67,Virginia Tech,91,,
Mon Jan 29 2024,Duke,77,Virginia Tech,67,,
Tue Jan 30 2024,Syracuse,75,Boston College,80,,
Tue Jan 30 2024,Louisville,64,Clemson,70,,
Tue Jan 30 2024,North Carolina,73,Georgia Tech,74,,
Tue Jan 30 2024,Miami (FL),68,NC State,74,,
Wed Jan 31 2024,Wake Forest,72,Pittsburgh,77,,
Wed Jan 31 2024,Notre Dame,53,Virginia,65,,
Sat Feb 3 2024,Virginia,66,Clemson,65,,
Sat Feb 3 2024,Florida State,92,Louisville,101,,
Sat Feb 3 2024,Virginia Tech,74,Miami (FL),82,,
Sat Feb 3 2024,Georgia Tech,76,NC State,82,,
Sat Feb 3 2024,Duke,84,North Carolina,93,,
Sat Feb 3 2024,Notre Dame,60,Pittsburgh,70,,
Sat Feb 3 2024,Syracuse,70,Wake Forest,99,,
Mon Feb 5 2024,Miami (FL),38,Virginia,60,,
Tue Feb 6 2024,Florida State,63,Boston College,62,,
Tue Feb 6 2024,Wake Forest,80,Georgia Tech,51,,
Tue Feb 6 2024,Clemson,80,North Carolina,76,,
Wed Feb 7 2024,Notre Dame,53,Duke,71,,
Wed Feb 7 2024,Pittsburgh,67,NC State,64,,
Wed Feb 7 2024,Louisville,92,Syracuse,94,,
Sat Feb 10 2024,Boston College,65,Duke,80,,
Sat Feb 10 2024,Virginia,80,Florida State,76,,
Sat Feb 10 2024,Georgia Tech,67,Louisville,79,,
Sat Feb 10 2024,North Carolina,75,Miami (FL),72,,
Sat Feb 10 2024,Virginia Tech,66,Notre Dame,74,,
Sat Feb 10 2024,Clemson,77,Syracuse,68,,
Sat Feb 10 2024,NC State,79,Wake Forest,83,,
Mon Feb 12 2024,Wake Forest,69,Duke,77,,
Tue Feb 13 2024,Louisville,77,Boston College,89,,
Tue Feb 13 2024,North Carolina,79,Syracuse,86,,
Tue Feb 13 2024,Pittsburgh,74,Virginia,63,,
Tue Feb 13 2024,Florida State,75,Virginia Tech,83,,
Wed Feb 14 2024,Miami (FL),60,Clemson,77,,
Wed Feb 14 2024,Georgia Tech,55,Notre Dame,58,,
Sat Feb 17 2024,Miami (FL),77,Boston College,85,,
Sat Feb 17 2024,NC State,78,Clemson,77,,
Sat Feb 17 2024,Duke,76,Florida State,67,,
Sat Feb 17 2024,Syracuse,60,Georgia Tech,65,,
Sat Feb 17 2024,Virginia Tech,81,North Carolina,96,,
Sat Feb 17 2024,Louisville,59,Pittsburgh,86,,
Sat Feb 17 2024,Wake Forest,47,Virginia,49,,
Mon Feb 19 2024,Virginia,41,Virginia Tech,75,,
Tue Feb 20 2024,Boston College,76,Florida State,84,,
Tue Feb 20 2024,Syracuse,87,NC State,83,,
Tue Feb 20 2024,Pittsburgh,58,Wake Forest,91,,
Wed Feb 21 2024,Clemson,81,Georgia Tech,57,,
Wed Feb 21 2024,Notre Dame,72,Louisville,50,,
Wed Feb 21 2024,Duke,84,Miami (FL),55,,
Sat Feb 24 2024,Florida State,63,Clemson,74,,
Sat Feb 24 2024,Georgia Tech,80,Miami (FL),76,,
Sat Feb 24 2024,Boston College,70,NC State,81,,
Sat Feb 24 2024,Virginia Tech,64,Pittsburgh,79,,
Sat Feb 24 2024,Notre Dame,85,Syracuse,88,,
Sat Feb 24 2024,North Carolina,54,Virginia,44,,
Sat Feb 24 2024,Duke,79,Wake Forest,83,,
Mon Feb 26 2024,Miami (FL),71,North Carolina,75,,
Tue Feb 27 2024,Pittsburgh,62,Clemson,69,,
Tue Feb 27 2024,NC State,83,Florida State,90,,
Tue Feb 27 2024,Wake Forest,65,Notre Dame,70,,
Tue Feb 27 2024,Virginia Tech,71,Syracuse,84,,
Wed Feb 28 2024,Virginia,72,Boston College,68,,
Wed Feb 28 2024,Louisville,59,Duke,84,,
Sat Mar 2 2024,Pittsburgh,90,Boston College,65,,
Sat Mar 2 2024,Virginia,48,Duke,73,,
